,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,content,timeElapsedInTurn,timeElapsedInTrial,eventType,practice
0,5efa2e3fce2f7f58fcd0b026,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454143780.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,vertical,horizontal,,0,practice,"hello
",61924,61924,chatMessage,True
1,5efa2e66ce2f7f58fcd0b02f,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454182973.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,vertical,horizontal,,2,practice,"need to place one vertically on the very bottom, three spots from the left",33489,101115,chatMessage,True
2,5efa2e9ece2f7f58fcd0b037,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454238691.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,vertical,horizontal,,4,practice,now the other is place horizontally 6 spots to the right of the last one on the very bottom also,34511,156832,chatMessage,True
3,5efa2ee5ce2f7f58fcd0b048,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454309932.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,Pi,0.0,0,0,okay two blocks placed horizontally side by side~~~ one spot from left,38933,38933,chatMessage,False
4,5efa2f13ce2f7f58fcd0b051,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454355779.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,Pi,0.0,2,0,"now on top of that~~~ at the very left square, 2 blocks vertically goin up from there~~~ to make an L",31912,84778,chatMessage,False
5,5efa2f48ce2f7f58fcd0b060,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454408864.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,Pi,0.0,4,0,"nice~~~ ok, now two spots to the right of that L you will place one vertical on the bottom row",29676,137860,chatMessage,False
6,5efa2f68ce2f7f58fcd0b06a,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454440164.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,Pi,0.0,6,0,now two spots to the right of that another vertical,13122,169157,chatMessage,False
7,5efa2fb6ce2f7f58fcd0b082,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454518354.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,Pi,0.0,8,0,now two horizontal blocks connecting the two~~~ above them~~~ to make an upside down u~~~ like an n,25014,247352,chatMessage,False
8,5efa2ff3ce2f7f58fcd0b092,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454579751.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,C,1.0,0,0,"same as last one~~~ on the left side, one spot from left you will make an L~~~ two horizontal, two vert",41916,41916,chatMessage,False
9,5efa3022ce2f7f58fcd0b0a3,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454626295.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,C,1.0,2,0,"nice, now 3 spots from that to the right place one horizontal on bottom row",24283,88459,chatMessage,False
10,5efa3049ce2f7f58fcd0b0ad,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454665336.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,C,1.0,4,0,"now 2 vertical from that one, above it~~~ from the left square",19560,127501,chatMessage,False
11,5efa306bce2f7f58fcd0b0b9,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454699555.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,L,C,1.0,6,0,now one horizontal from that~~~ on top~~~ to form a long looking C,19419,161715,chatMessage,False
12,5efa3097ce2f7f58fcd0b0c7,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454743055.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,C,Pi,2.0,0,0,"okay, that same C we just did~~~ now its on the left side~~~ starts 2 spots from the left on the bottom",31544,31544,chatMessage,False
13,5efa30d1ce2f7f58fcd0b0d4,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454801911.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,C,Pi,2.0,2,0,"now upside down u~~~ 3 spots to right of the C~~~ one vert, then two horizontal, then one vert again~~~ ",34234,90393,chatMessage,False
14,5efa3149ce2f7f58fcd0b0e9,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454921922.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,C,Pi,2.0,4,0,now one horizontal to the right~~~ then one vert under that,18857,210412,chatMessage,False
15,5efa3178ce2f7f58fcd0b0f7,pilot2,0662-7a9212c9-5aa7-44de-9ed7-4663c56562d2,1593454968408.0,3JC6VJ2SAFJ73NCHXMRQ05KDTXKA5P,Pi,L,3.0,0,1,okay same upside down u~~~ one spot from left,15458,15458,chatMessage,False
